continent,location,total_cases_per_million,total_deaths_per_million,median_age,gdp_per_capita,life_expectancy,human_development_index
Africa,Niger,49.697,2.85,15.1,926,62.42,0.354
Africa,Central African Republic,1005.225,12.837,18.3,661.24,53.28,0.367
Africa,South Sudan,249.961,4.913,19.2,1569.888,57.85,0.388
Africa,Chad,80.422,5.601,16.7,1768.153,54.24,0.404
Africa,Burundi,44.488,0.084,17.5,702.225,61.58,0.417
Africa,Sierra Leone,289.458,9.026,19.1,1390.3,54.7,0.419
Africa,Burkina Faso,110.27,3.014,17.6,1703.102,61.58,0.423
Africa,Mali,162.759,6.518,16.4,2014.306,59.31,0.427
Africa,Liberia,271.073,16.213,19.2,752.788,64.1,0.435
Africa,Mozambique,328.199,2.336,17.7,1136.103,60.85,0.437
Africa,Eritrea,116.737,0,19.3,1510.459,66.32,0.44
Asia,Yemen,68.933,20.016,20.3,1479.147,66.12,0.452
Africa,Guinea-Bissau,1211.891,20.325,19.4,1548.675,58.32,0.455
Africa,Democratic Republic of Congo,121.38,3.071,17,808.133,60.68,0.457
Africa,Guinea,847.801,5.33,19,1998.926,61.6,0.459
Africa,Gambia,1504.553,48.828,17.5,1561.767,62.05,0.46
Africa,Ethiopia,745.61,11.351,19.8,1729.927,66.6,0.463
Africa,Djibouti,5493.916,61.741,25.4,2705.406,67.11,0.476
Africa,Malawi,304.601,9.462,18.1,1095.042,64.26,0.477
Africa,Cote d'Ivoire,765.137,4.549,18.7,3601.006,57.78,0.492
Asia,Afghanistan,1027.375,38.019,18.6,1803.987,64.83,0.498
North America,Haiti,779.388,20.171,24.3,1653.173,64,0.498
Africa,Sudan,312.229,19.065,19.7,4466.507,65.31,0.502
Africa,Comoros,570.38,8.05,20.4,1413.89,64.32,0.503
Africa,Togo,238.201,6.04,19.4,1429.813,61.04,0.503
Africa,Senegal,914.182,18.813,18.7,2470.58,67.94,0.505
Africa,Benin,198.875,3.382,18.8,2064.236,61.77,0.515
Africa,Uganda,217.42,2.077,16.4,1697.707,63.37,0.516
Africa,Madagascar,605.034,8.559,19.6,1416.44,67.04,0.519
Africa,Lesotho,842.571,19.606,22.2,2851.153,54.33,0.52
Africa,Mauritania,1624.635,35.056,20.3,3597.633,64.92,0.52
Africa,Rwanda,378.932,2.471,20.3,1854.211,69.02,0.524
Africa,Nigeria,294.242,5.414,18.1,5338.454,54.69,0.532
Africa,Zimbabwe,540.674,15.475,19.6,1899.775,61.49,0.535
Asia,Syria,275.761,13.2,21.7,n/a,72.7,0.536
Africa,Tanzania,8.521,0.352,17.7,2683.304,65.46,0.538
Oceania,Papua New Guinea,64.267,0.782,22.6,3823.194,64.5,0.544
Africa,Cameroon,803.628,15.935,18.8,3364.926,59.29,0.556
Asia,Pakistan,1450.766,29.883,23.5,5034.708,67.27,0.562
Asia,Nepal,3959.185,22.755,25,2442.804,70.78,0.574
Asia,Myanmar,559.403,12.737,29.1,5591.597,67.13,0.578
Africa,Angola,197.406,6.663,16.8,5819.495,61.15,0.581
Asia,Cambodia,16.927,0,25.6,3645.07,69.82,0.582
Africa,Swaziland,4909.651,98.262,21.5,7738.975,60.19,0.588
Africa,Zambia,847.859,18.766,17.7,3689.251,63.89,0.588
Africa,Sao Tome and Principe,4238.893,68.443,18.7,3052.714,70.39,0.589
Africa,Kenya,779.914,14.636,20,2993.028,66.7,0.59
Africa,Equatorial Guinea,3610.873,59.16,22.4,22604.873,58.74,0.591
Africa,Ghana,1516.625,9.977,21.1,4227.63,64.07,0.592
Asia,Laos,3.161,0,24.4,6397.36,67.92,0.601
Africa,Congo,934.381,16.672,19,4881.406,64.57,0.606
Asia,Bangladesh,2315.116,33.864,27.5,3523.984,72.59,0.608
Asia,Bhutan,405.644,0,28.6,8708.597,71.78,0.612
North America,Honduras,8566.922,255.235,24.9,4541.795,75.27,0.617
Asia,Timor,21.996,0,18,6570.102,69.5,0.625
Asia,India,5245.917,80.135,28.2,6426.674,69.66,0.64
Africa,Namibia,4722.706,50.769,22,9541.808,63.71,0.647
North America,Guatemala,5491.314,190.337,22.9,7423.808,74.3,0.65
Asia,Tajikistan,1079.617,8.283,23.3,2896.913,71.1,0.65
Africa,Cape Verde,13047.044,138.492,25.7,6222.554,72.98,0.654
South America,Guyana,4532.4,134.764,26.3,7435.047,69.91,0.654
North America,Nicaragua,808.054,23.247,27.3,5321.444,74.48,0.658
Africa,Morocco,4252.063,72.743,29.6,7485.013,76.68,0.667
Asia,Kyrgyzstan,7694.594,167.684,26.3,3393.474,71.45,0.672
North America,El Salvador,4699.207,138.602,27.6,7292.458,73.32,0.674
Asia,Iraq,10177.338,247.871,20,15663.986,70.6,0.685
Asia,Palestine,11068.888,89.975,20.4,4449.898,74.05,0.686
South America,Bolivia,11901.11,715.41,25.4,6885.829,71.51,0.693
Asia,Indonesia,1245.311,43.971,29.3,11188.744,71.72,0.694
Asia,Vietnam,11.434,0.36,32.6,6171.884,75.4,0.694
Africa,Egypt,1023.966,59.325,25.3,10550.206,71.99,0.696
Asia,Philippines,3145.735,58.149,25.2,7599.188,71.23,0.699
Africa,South Africa,11710.544,303.969,27.3,12294.876,64.13,0.699
Europe,Moldova,15685.568,370.603,37.6,5189.972,71.9,0.7
Africa,Gabon,3980.72,24.262,23.1,16562.413,66.47,0.702
South America,Paraguay,7177.958,155.345,26.5,8827.01,74.25,0.702
Africa,Libya,6546.808,95.47,29,17881.509,72.91,0.706
North America,Belize,6501.166,98.083,25,7824.362,74.62,0.708
Asia,Uzbekistan,1848.237,15.298,28.2,6253.104,71.72,0.71
North America,Dominica,444.5,0,n/a,9673.367,75,0.715
Africa,Botswana,2142.774,8.505,25.8,15807.374,69.59,0.717
Asia,Maldives,20336.995,64.75,30.6,15183.616,78.92,0.717
South America,Suriname,8645.936,182.397,29.6,13767.119,71.68,0.72
North America,Saint Vincent and the Grenadines,576.852,0,31.8,10727.146,72.53,0.723
North America,Jamaica,2671.25,49.305,31.4,8193.571,74.47,0.732
Asia,Jordan,2756.7,22.052,23.2,8337.49,74.53,0.735
Africa,Tunisia,2754.637,40.445,32.7,10849.297,76.7,0.735
North America,Dominican Republic,10970.599,201.237,27.6,14600.861,74.08,0.736
