continent,location,total_cases_per_million,total_deaths_per_million,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index
North America,Anguilla,199.973,0,NA,NA,NA,81.88,NA
North America,Bonaire Sint Eustatius and Saba,5720.606,76.275,NA,NA,NA,77.79,NA
Africa,Western Sahara,1282.373,1.674,NA,28.4,NA,70.26,NA
South America,Falkland Islands,3732.415,0,NA,NA,NA,81.44,NA
Europe,Guernsey,3847.76,193.879,NA,NA,NA,NA,NA
Europe,Jersey,4778.724,316.603,NA,NA,NA,NA,NA
North America,Montserrat,2600.52,200.04,NA,NA,NA,74.16,NA
Africa,South Sudan,249.961,4.913,NA,19.2,1569.888,57.85,0.388
Asia,Syria,275.761,13.2,NA,21.7,NA,72.7,0.536
Asia,Taiwan,22.253,0.294,NA,42.2,NA,80.46,NA
Asia,Singapore,9894.121,4.786,7915.731,42.4,85535.383,83.62,0.932
Europe,Gibraltar,14811.077,0,3457.1,NA,NA,79.93,NA
Asia,Bahrain,44824.143,168.079,1935.907,32.4,43290.705,77.29,0.846
Asia,Maldives,20336.995,64.75,1454.433,30.6,15183.616,78.92,0.717
Europe,Malta,8916.54,99.651,1454.037,42.4,36513.323,82.53,0.878
North America,Bermuda,2970.79,144.525,1308.82,NA,50669.315,82.59,NA
Asia,Bangladesh,2315.116,33.864,1265.036,27.5,3523.984,72.59,0.608
North America,Sint Maarten (Dutch part),16766.942,513.036,1209.088,NA,36327.232,78.95,NA
Asia,Palestine,11068.888,89.975,778.202,20.4,4449.898,74.05,0.686
North America,Barbados,730.763,24.359,664.463,39.8,16978.068,79.19,0.8
Africa,Mauritius,320.027,7.863,622.962,37.4,20292.745,74.99,0.79
Asia,Lebanon,8185.404,70.179,594.561,31.1,13367.565,78.93,0.757
North America,Aruba,39609.988,299.721,584.8,41.2,35973.781,76.29,NA
Europe,San Marino,22158.053,1237.551,556.667,NA,56861.47,84.97,NA
Asia,South Korea,485.457,8.543,527.967,43.4,35938.374,83.03,0.903
Europe,Netherlands,11010.411,386.463,508.544,43.2,48472.545,82.28,0.931
Africa,Rwanda,378.932,2.471,494.869,20.3,1854.211,69.02,0.524
Asia,India,5245.917,80.135,450.419,28.2,6426.674,69.66,0.64
Africa,Comoros,570.38,8.05,437.352,20.4,1413.89,64.32,0.503
Africa,Burundi,44.488,0.084,423.062,17.5,702.225,61.58,0.417
Asia,Israel,34344.936,237.42,402.606,30.6,33132.32,82.97,0.903
North America,Haiti,779.388,20.171,398.448,24.3,1653.173,64,0.498
North America,Puerto Rico,19064.331,257.966,376.232,38.2,35044.67,80.1,NA
North America,Curacao,3772.09,6.094,362.644,41.7,NA,78.88,NA
Asia,Philippines,3145.735,58.149,351.873,25.2,7599.188,71.23,0.699
Asia,Japan,712.702,12.951,347.778,48.2,39002.223,84.63,0.909
